report_week,reference_week,ach_region,sex,counts
2023-04-24,2023-04-24,SWACH,Female,3
2023-04-24,2023-04-24,SWACH,Male,4
2023-05-01,2023-04-03,Better Health Together,Female,93
2023-05-01,2023-04-03,Better Health Together,Male,93
2023-05-01,2023-04-03,Cascade Pacific Action Alliance,Female,101
2023-05-01,2023-04-03,Cascade Pacific Action Alliance,Male,106
2023-05-01,2023-04-03,Elevate Health,Female,157
2023-05-01,2023-04-03,Elevate Health,Male,147
2023-05-01,2023-04-03,Greater Columbia ACH,Female,107
2023-05-01,2023-04-03,Greater Columbia ACH,Male,114
2023-05-01,2023-04-03,HealthierHere,Female,377
2023-05-01,2023-04-03,HealthierHere,Male,331
2023-05-01,2023-04-03,North Central ACH,Female,42
2023-05-01,2023-04-03,North Central ACH,Male,37
2023-05-01,2023-04-03,North Sound ACH,Female,189
2023-05-01,2023-04-03,North Sound ACH,Male,182
2023-05-01,2023-04-03,Olympic Community of Health,Female,67
2023-05-01,2023-04-03,Olympic Community of Health,Male,60
2023-05-01,2023-04-03,SWACH,Female,79
2023-05-01,2023-04-03,SWACH,Male,88
2023-05-01,2023-04-10,Better Health Together,Female,76
2023-05-01,2023-04-10,Better Health Together,Male,88
2023-05-01,2023-04-10,Cascade Pacific Action Alliance,Female,82
2023-05-01,2023-04-10,Cascade Pacific Action Alliance,Male,84
2023-05-01,2023-04-10,Elevate Health,Female,124
2023-05-01,2023-04-10,Elevate Health,Male,141
2023-05-01,2023-04-10,Greater Columbia ACH,Female,88
2023-05-01,2023-04-10,Greater Columbia ACH,Male,95
2023-05-01,2023-04-10,HealthierHere,Female,309
2023-05-01,2023-04-10,HealthierHere,Male,310
2023-05-01,2023-04-10,North Central ACH,Female,43
2023-05-01,2023-04-10,North Central ACH,Male,40
2023-05-01,2023-04-10,North Sound ACH,Female,168
2023-05-01,2023-04-10,North Sound ACH,Male,178
2023-05-01,2023-04-10,Olympic Community of Health,Female,43
2023-05-01,2023-04-10,Olympic Community of Health,Male,43
2023-05-01,2023-04-10,SWACH,Female,91
2023-05-01,2023-04-10,SWACH,Male,76
2023-05-01,2023-04-17,Better Health Together,Female,58
2023-05-01,2023-04-17,Better Health Together,Male,69
2023-05-01,2023-04-17,Cascade Pacific Action Alliance,Female,62
2023-05-01,2023-04-17,Cascade Pacific Action Alliance,Male,52
2023-05-01,2023-04-17,Elevate Health,Female,77
2023-05-01,2023-04-17,Elevate Health,Male,80
2023-05-01,2023-04-17,Greater Columbia ACH,Female,60
2023-05-01,2023-04-17,Greater Columbia ACH,Male,56
2023-05-01,2023-04-17,HealthierHere,Female,206
2023-05-01,2023-04-17,HealthierHere,Male,199
2023-05-01,2023-04-17,North Central ACH,Female,21
2023-05-01,2023-04-17,North Central ACH,Male,22
2023-05-01,2023-04-17,North Sound ACH,Female,126
2023-05-01,2023-04-17,North Sound ACH,Male,113
2023-05-01,2023-04-17,Olympic Community of Health,Female,37
2023-05-01,2023-04-17,Olympic Community of Health,Male,40
2023-05-01,2023-04-17,SWACH,Female,51
2023-05-01,2023-04-17,SWACH,Male,49
2023-05-01,2023-04-24,Better Health Together,Female,34
2023-05-01,2023-04-24,Better Health Together,Male,34
2023-05-01,2023-04-24,Cascade Pacific Action Alliance,Female,34
2023-05-01,2023-04-24,Cascade Pacific Action Alliance,Male,37
2023-05-01,2023-04-24,Elevate Health,Female,40
2023-05-01,2023-04-24,Elevate Health,Male,52
2023-05-01,2023-04-24,Greater Columbia ACH,Female,34
2023-05-01,2023-04-24,Greater Columbia ACH,Male,32
2023-05-01,2023-04-24,HealthierHere,Female,108
2023-05-01,2023-04-24,HealthierHere,Male,119
2023-05-01,2023-04-24,North Central ACH,Female,11
2023-05-01,2023-04-24,North Central ACH,Male,14
2023-05-01,2023-04-24,North Sound ACH,Female,60
2023-05-01,2023-04-24,North Sound ACH,Male,63
2023-05-01,2023-04-24,Olympic Community of Health,Female,17
2023-05-01,2023-04-24,Olympic Community of Health,Male,18
2023-05-01,2023-04-24,SWACH,Female,24
2023-05-01,2023-04-24,SWACH,Male,18
2023-05-01,2023-05-01,Better Health Together,Female,12
2023-05-01,2023-05-01,Better Health Together,Male,7
2023-05-01,2023-05-01,Cascade Pacific Action Alliance,Female,11
2023-05-01,2023-05-01,Cascade Pacific Action Alliance,Male,11
2023-05-01,2023-05-01,Elevate Health,Female,13
2023-05-01,2023-05-01,Elevate Health,Male,19
2023-05-01,2023-05-01,Greater Columbia ACH,Female,12
2023-05-01,2023-05-01,Greater Columbia ACH,Male,10
2023-05-01,2023-05-01,HealthierHere,Female,26
2023-05-01,2023-05-01,HealthierHere,Male,33
2023-05-01,2023-05-01,North Central ACH,Female,2
2023-05-01,2023-05-01,North Central ACH,Male,6
2023-05-01,2023-05-01,North Sound ACH,Female,20
2023-05-01,2023-05-01,North Sound ACH,Male,14
2023-05-01,2023-05-01,Olympic Community of Health,Female,1
2023-05-01,2023-05-01,Olympic Community of Health,Male,5
2023-05-01,2023-05-01,SWACH,Female,11
2023-05-01,2023-05-01,SWACH,Male,8
2023-05-08,2023-04-03,Better Health Together,Female,104
2023-05-08,2023-04-03,Better Health Together,Male,100
2023-05-08,2023-04-03,Cascade Pacific Action Alliance,Female,110
2023-05-08,2023-04-03,Cascade Pacific Action Alliance,Male,112
2023-05-08,2023-04-03,Elevate Health,Female,172
2023-05-08,2023-04-03,Elevate Health,Male,158
2023-05-08,2023-04-03,Greater Columbia ACH,Female,117
2023-05-08,2023-04-03,Greater Columbia ACH,Male,125
2023-05-08,2023-04-03,HealthierHere,Female,416
2023-05-08,2023-04-03,HealthierHere,Male,353
2023-05-08,2023-04-03,North Central ACH,Female,44
2023-05-08,2023-04-03,North Central ACH,Male,41
2023-05-08,2023-04-03,North Sound ACH,Female,202
2023-05-08,2023-04-03,North Sound ACH,Male,205
2023-05-08,2023-04-03,Olympic Community of Health,Female,72
2023-05-08,2023-04-03,Olympic Community of Health,Male,65
2023-05-08,2023-04-03,SWACH,Female,87
2023-05-08,2023-04-03,SWACH,Male,96
2023-05-08,2023-04-10,Better Health Together,Female,89
2023-05-08,2023-04-10,Better Health Together,Male,98
2023-05-08,2023-04-10,Cascade Pacific Action Alliance,Female,99
2023-05-08,2023-04-10,Cascade Pacific Action Alliance,Male,94
2023-05-08,2023-04-10,Elevate Health,Female,148
2023-05-08,2023-04-10,Elevate Health,Male,159
2023-05-08,2023-04-10,Greater Columbia ACH,Female,106
2023-05-08,2023-04-10,Greater Columbia ACH,Male,111
2023-05-08,2023-04-10,HealthierHere,Female,370
2023-05-08,2023-04-10,HealthierHere,Male,358
2023-05-08,2023-04-10,North Central ACH,Female,45
2023-05-08,2023-04-10,North Central ACH,Male,47
2023-05-08,2023-04-10,North Sound ACH,Female,201
2023-05-08,2023-04-10,North Sound ACH,Male,213
2023-05-08,2023-04-10,Olympic Community of Health,Female,54
2023-05-08,2023-04-10,Olympic Community of Health,Male,53
2023-05-08,2023-04-10,SWACH,Female,108
2023-05-08,2023-04-10,SWACH,Male,88
2023-05-08,2023-04-17,Better Health Together,Female,78
2023-05-08,2023-04-17,Better Health Together,Male,92
2023-05-08,2023-04-17,Cascade Pacific Action Alliance,Female,78
2023-05-08,2023-04-17,Cascade Pacific Action Alliance,Male,81
2023-05-08,2023-04-17,Elevate Health,Female,112
2023-05-08,2023-04-17,Elevate Health,Male,105
2023-05-08,2023-04-17,Greater Columbia ACH,Female,82
2023-05-08,2023-04-17,Greater Columbia ACH,Male,88
2023-05-08,2023-04-17,HealthierHere,Female,277
2023-05-08,2023-04-17,HealthierHere,Male,272
2023-05-08,2023-04-17,North Central ACH,Female,33
2023-05-08,2023-04-17,North Central ACH,Male,31
2023-05-08,2023-04-17,North Sound ACH,Female,176
2023-05-08,2023-04-17,North Sound ACH,Male,155
2023-05-08,2023-04-17,Olympic Community of Health,Female,51
2023-05-08,2023-04-17,Olympic Community of Health,Male,46
2023-05-08,2023-04-17,SWACH,Female,66
2023-05-08,2023-04-17,SWACH,Male,65
2023-05-08,2023-04-24,Better Health Together,Female,66
2023-05-08,2023-04-24,Better Health Together,Male,62
2023-05-08,2023-04-24,Cascade Pacific Action Alliance,Female,59
2023-05-08,2023-04-24,Cascade Pacific Action Alliance,Male,59
2023-05-08,2023-04-24,Elevate Health,Female,70
2023-05-08,2023-04-24,Elevate Health,Male,81
2023-05-08,2023-04-24,Greater Columbia ACH,Female,69
2023-05-08,2023-04-24,Greater Columbia ACH,Male,56
2023-05-08,2023-04-24,HealthierHere,Female,214
2023-05-08,2023-04-24,HealthierHere,Male,202
2023-05-08,2023-04-24,North Central ACH,Female,21
2023-05-08,2023-04-24,North Central ACH,Male,28
2023-05-08,2023-04-24,North Sound ACH,Female,118
2023-05-08,2023-04-24,North Sound ACH,Male,105
2023-05-08,2023-04-24,Olympic Community of Health,Female,38
2023-05-08,2023-04-24,Olympic Community of Health,Male,37
2023-05-08,2023-04-24,SWACH,Female,47
2023-05-08,2023-04-24,SWACH,Male,50
2023-05-08,2023-05-01,Better Health Together,Female,49
2023-05-08,2023-05-01,Better Health Together,Male,33
2023-05-08,2023-05-01,Cascade Pacific Action Alliance,Female,36
2023-05-08,2023-05-01,Cascade Pacific Action Alliance,Male,29
2023-05-08,2023-05-01,Elevate Health,Female,50
2023-05-08,2023-05-01,Elevate Health,Male,47
2023-05-08,2023-05-01,Greater Columbia ACH,Female,34
2023-05-08,2023-05-01,Greater Columbia ACH,Male,31
2023-05-08,2023-05-01,HealthierHere,Female,91
2023-05-08,2023-05-01,HealthierHere,Male,103
2023-05-08,2023-05-01,North Central ACH,Female,10
2023-05-08,2023-05-01,North Central ACH,Male,14
2023-05-08,2023-05-01,North Sound ACH,Female,62
2023-05-08,2023-05-01,North Sound ACH,Male,60
2023-05-08,2023-05-01,Olympic Community of Health,Female,17
2023-05-08,2023-05-01,Olympic Community of Health,Male,14
2023-05-08,2023-05-01,SWACH,Female,22
2023-05-08,2023-05-01,SWACH,Male,28
2023-05-08,2023-05-08,Better Health Together,Female,7
2023-05-08,2023-05-08,Better Health Together,Male,15
2023-05-08,2023-05-08,Cascade Pacific Action Alliance,Female,12
2023-05-08,2023-05-08,Cascade Pacific Action Alliance,Male,4
2023-05-08,2023-05-08,Elevate Health,Female,13
2023-05-08,2023-05-08,Elevate Health,Male,10
2023-05-08,2023-05-08,Greater Columbia ACH,Female,15
2023-05-08,2023-05-08,Greater Columbia ACH,Male,10
2023-05-08,2023-05-08,HealthierHere,Female,22
2023-05-08,2023-05-08,HealthierHere,Male,37
2023-05-08,2023-05-08,North Central ACH,Female,4
2023-05-08,2023-05-08,North Central ACH,Male,5
2023-05-08,2023-05-08,North Sound ACH,Female,23
2023-05-08,2023-05-08,North Sound ACH,Male,11
2023-05-08,2023-05-08,Olympic Community of Health,Female,8
2023-05-08,2023-05-08,Olympic Community of Health,Male,1
2023-05-08,2023-05-08,SWACH,Female,10
2023-05-08,2023-05-08,SWACH,Male,9
2023-05-15,2023-04-03,Better Health Together,Female,108
2023-05-15,2023-04-03,Better Health Together,Male,107
2023-05-15,2023-04-03,Cascade Pacific Action Alliance,Female,116
2023-05-15,2023-04-03,Cascade Pacific Action Alliance,Male,116
2023-05-15,2023-04-03,Elevate Health,Female,177
2023-05-15,2023-04-03,Elevate Health,Male,163
2023-05-15,2023-04-03,Greater Columbia ACH,Female,120
2023-05-15,2023-04-03,Greater Columbia ACH,Male,133
2023-05-15,2023-04-03,HealthierHere,Female,432
2023-05-15,2023-04-03,HealthierHere,Male,366
2023-05-15,2023-04-03,North Central ACH,Female,44
2023-05-15,2023-04-03,North Central ACH,Male,46
2023-05-15,2023-04-03,North Sound ACH,Female,215
2023-05-15,2023-04-03,North Sound ACH,Male,214
2023-05-15,2023-04-03,Olympic Community of Health,Female,74
2023-05-15,2023-04-03,Olympic Community of Health,Male,67
2023-05-15,2023-04-03,SWACH,Female,92
2023-05-15,2023-04-03,SWACH,Male,97
2023-05-15,2023-04-10,Better Health Together,Female,97
2023-05-15,2023-04-10,Better Health Together,Male,106
2023-05-15,2023-04-10,Cascade Pacific Action Alliance,Female,104
2023-05-15,2023-04-10,Cascade Pacific Action Alliance,Male,103
2023-05-15,2023-04-10,Elevate Health,Female,160
2023-05-15,2023-04-10,Elevate Health,Male,165
2023-05-15,2023-04-10,Greater Columbia ACH,Female,112
2023-05-15,2023-04-10,Greater Columbia ACH,Male,119
2023-05-15,2023-04-10,HealthierHere,Female,392
2023-05-15,2023-04-10,HealthierHere,Male,385
2023-05-15,2023-04-10,North Central ACH,Female,46
2023-05-15,2023-04-10,North Central ACH,Male,48
2023-05-15,2023-04-10,North Sound ACH,Female,218
2023-05-15,2023-04-10,North Sound ACH,Male,230
2023-05-15,2023-04-10,Olympic Community of Health,Female,58
2023-05-15,2023-04-10,Olympic Community of Health,Male,60
2023-05-15,2023-04-10,SWACH,Female,113
2023-05-15,2023-04-10,SWACH,Male,96
2023-05-15,2023-04-17,Better Health Together,Female,97
2023-05-15,2023-04-17,Better Health Together,Male,104
2023-05-15,2023-04-17,Cascade Pacific Action Alliance,Female,96
2023-05-15,2023-04-17,Cascade Pacific Action Alliance,Male,92
2023-05-15,2023-04-17,Elevate Health,Female,139
2023-05-15,2023-04-17,Elevate Health,Male,127
2023-05-15,2023-04-17,Greater Columbia ACH,Female,97
2023-05-15,2023-04-17,Greater Columbia ACH,Male,105
2023-05-15,2023-04-17,HealthierHere,Female,329
2023-05-15,2023-04-17,HealthierHere,Male,330
2023-05-15,2023-04-17,North Central ACH,Female,40
2023-05-15,2023-04-17,North Central ACH,Male,38
2023-05-15,2023-04-17,North Sound ACH,Female,204
2023-05-15,2023-04-17,North Sound ACH,Male,185
2023-05-15,2023-04-17,Olympic Community of Health,Female,62
2023-05-15,2023-04-17,Olympic Community of Health,Male,52
2023-05-15,2023-04-17,SWACH,Female,86
2023-05-15,2023-04-17,SWACH,Male,79
2023-05-15,2023-04-24,Better Health Together,Female,83
2023-05-15,2023-04-24,Better Health Together,Male,81
2023-05-15,2023-04-24,Cascade Pacific Action Alliance,Female,86
2023-05-15,2023-04-24,Cascade Pacific Action Alliance,Male,87
2023-05-15,2023-04-24,Elevate Health,Female,110
2023-05-15,2023-04-24,Elevate Health,Male,119
2023-05-15,2023-04-24,Greater Columbia ACH,Female,96
2023-05-15,2023-04-24,Greater Columbia ACH,Male,84
2023-05-15,2023-04-24,HealthierHere,Female,297
2023-05-15,2023-04-24,HealthierHere,Male,286
2023-05-15,2023-04-24,North Central ACH,Female,28
2023-05-15,2023-04-24,North Central ACH,Male,31
2023-05-15,2023-04-24,North Sound ACH,Female,185
2023-05-15,2023-04-24,North Sound ACH,Male,157
2023-05-15,2023-04-24,Olympic Community of Health,Female,56
2023-05-15,2023-04-24,Olympic Community of Health,Male,52
2023-05-15,2023-04-24,SWACH,Female,62
2023-05-15,2023-04-24,SWACH,Male,70
2023-05-15,2023-05-01,Better Health Together,Female,71
2023-05-15,2023-05-01,Better Health Together,Male,55
2023-05-15,2023-05-01,Cascade Pacific Action Alliance,Female,67
2023-05-15,2023-05-01,Cascade Pacific Action Alliance,Male,54
2023-05-15,2023-05-01,Elevate Health,Female,89
2023-05-15,2023-05-01,Elevate Health,Male,87
2023-05-15,2023-05-01,Greater Columbia ACH,Female,57
2023-05-15,2023-05-01,Greater Columbia ACH,Male,64
2023-05-15,2023-05-01,HealthierHere,Female,192
2023-05-15,2023-05-01,HealthierHere,Male,182
2023-05-15,2023-05-01,North Central ACH,Female,25
2023-05-15,2023-05-01,North Central ACH,Male,23
2023-05-15,2023-05-01,North Sound ACH,Female,114
2023-05-15,2023-05-01,North Sound ACH,Male,129
2023-05-15,2023-05-01,Olympic Community of Health,Female,34
2023-05-15,2023-05-01,Olympic Community of Health,Male,28
2023-05-15,2023-05-01,SWACH,Female,38
2023-05-15,2023-05-01,SWACH,Male,53
2023-05-15,2023-05-08,Better Health Together,Female,22
2023-05-15,2023-05-08,Better Health Together,Male,37
2023-05-15,2023-05-08,Cascade Pacific Action Alliance,Female,42
2023-05-15,2023-05-08,Cascade Pacific Action Alliance,Male,26
2023-05-15,2023-05-08,Elevate Health,Female,39
2023-05-15,2023-05-08,Elevate Health,Male,39
2023-05-15,2023-05-08,Greater Columbia ACH,Female,47
2023-05-15,2023-05-08,Greater Columbia ACH,Male,33
2023-05-15,2023-05-08,HealthierHere,Female,97
2023-05-15,2023-05-08,HealthierHere,Male,119
2023-05-15,2023-05-08,North Central ACH,Female,15
2023-05-15,2023-05-08,North Central ACH,Male,12
2023-05-15,2023-05-08,North Sound ACH,Female,72
2023-05-15,2023-05-08,North Sound ACH,Male,52
2023-05-15,2023-05-08,Olympic Community of Health,Female,25
2023-05-15,2023-05-08,Olympic Community of Health,Male,13
2023-05-15,2023-05-08,SWACH,Female,31
2023-05-15,2023-05-08,SWACH,Male,26
2023-05-15,2023-05-15,Better Health Together,Female,5
2023-05-15,2023-05-15,Better Health Together,Male,5
2023-05-15,2023-05-15,Cascade Pacific Action Alliance,Female,10
2023-05-15,2023-05-15,Cascade Pacific Action Alliance,Male,7
2023-05-15,2023-05-15,Elevate Health,Female,15
2023-05-15,2023-05-15,Elevate Health,Male,16
2023-05-15,2023-05-15,Greater Columbia ACH,Female,13
2023-05-15,2023-05-15,Greater Columbia ACH,Male,7
2023-05-15,2023-05-15,HealthierHere,Female,35
2023-05-15,2023-05-15,HealthierHere,Male,32
2023-05-15,2023-05-15,North Central ACH,Female,3
2023-05-15,2023-05-15,North Central ACH,Male,6
2023-05-15,2023-05-15,North Sound ACH,Female,19
2023-05-15,2023-05-15,North Sound ACH,Male,24
2023-05-15,2023-05-15,Olympic Community of Health,Female,7
2023-05-15,2023-05-15,Olympic Community of Health,Male,8
2023-05-15,2023-05-15,SWACH,Female,7
2023-05-15,2023-05-15,SWACH,Male,10
2023-05-22,2023-04-03,Better Health Together,Female,110
2023-05-22,2023-04-03,Better Health Together,Male,114
